"Key","SourceString","Comment"
"Crew_Assistant","Caswynn","Name of a male story character."
"Crew_Ryselle","Ryselle","Name of a female story character."
"Solomon","Solomon","Name of a male story character."
"Solomon_Nameless","Barkeep","Description of a male story character, before learning his name"
"OneArmedWoman_Nameless","Old Woman","Description of a female story character, before learning her name."
"OneArmedWoman","Skelda","Name of a female story character."
"SturdyGuard_Nameless","Sturdy Guard","Name of a guard who is strong, slightly overweight and has compact physique."
"SturdyGuard","Thurl","Name of a guard who is strong, slightly overweight and has compact physique."
"SlenderGuard_Nameless","Slender Guard","Name of a guard who is tall, lean, but not unhealthy."
"SlenderGuard","Allister","Name of a guard who is tall, lean, but not unhealthy."
"Hock","Hock","Name of a female story character. The name is short for Hollyhock; the character was brought up by druids, named after a plant, and then chose to shorten it to Hock rather than Holly because she's a tough fighter."
"Hock_Nameless","Tattooed Crow","Description of a female story character, before learning her name,"
"Karel","Karelinus","Name of a male story character."
"Karel_Nameless","Delicate-Looking Man","Description of a male story character, before learning his name"
"Scrap_Peddler","Scrap Peddler","Name of a male story character and vendor who deals in various things he finds."
"Marwin","Marwin","Name of a male story character."
"Marwin_Nameless","Hulking Warrior","Description of a male story character, before learning his name"
"Huntress","Huntress","Name of a female story character."
"Bennet_Maunder","Bennet","Name of a male story character."
"Bennet_Maunder_Nameless","Bearded Man","Description of a male story character, before learning his name"
"Sandric_Maunder","Sandric","Name of a male story character."
"Sandric_Maunder_Nameless","Sullen Boy","Description of a male story character, before learning his name"
"Shev","Shev","Name of a female story character."
"Shev_Nameless","Young Woman","Description of a female story character, before learning her name,"
"Camp_Woman","Woman","Description of a female story character."
"Camp_Thief","Thief","Description of a MALE story character."
"Lawkin","Lawkin","Name of a male story character."
"Garrett","Garrett","Name of a male story character."
"Midge","Midge","Name of a female story character."
"Griswald","Griswald","Name of a male story character."
"Mae","Mae","Name of a female story character."
"Isolde","Isolde","Name of a female story character."
"Kark","Kark","Name of a male story character."
"Fortune_Teller","Fortune Teller","Description of a female story character."
"SelfDefense_Applicant","Applicant","Description of a male story character."
"Stacker","Stacker","Name of a male story character."
"Orrell","Orrell","Name of a male story character."
"Applicant_Thief","Thief","Description of a FEMALE story character."
"OuterGate_Guard","Guard","Description of a male story character."
"Pushy_Sergeant","Sergeant Glenn","Title/name of a female story character."
"Pushy_Sergeant_Nameless","Watch Sergeant","Description of a female story character, before learning her name,"
"Aldric","Aldric","Name of a male story character."
"Elmurd","Elmurd","Name of a male story character."
"Abelard","Abelard","Name of a male story character."
"Abelard_Nameless","Traveller","Description of a male story character, before learning his name"
"Ursus","Ursus","Name of a male story character."
"Ursus_Nameless","Porter","Description of a male story character, before learning his name"
"Orphanage_OrphanMother","Mother Wilke","Name of a female story character."
"Orphanage_OrphanMother_Nameless","Matron","Description of a female story character, before learning her name,"
"Steady_Stay_Owner","Nikau","Name of a male story character."
"Steady_Stay_Owner_Nameless","Innkeep","Description of a male story character, before learning his name"
"Purdesch","Purdesch","Name of a male story character."
"Purdesch_Nameless","Tanner","Description of a male story character, before learning his name"
"Nimrith","Nimrith","Name of a female story character."
"Nimrith_Nameless","Horned Scholar","Description of a female story character, before learning her name,"
"Square_Orphan","Colwit","Name of a male story character."
"Square_Orphan_Nameless","Orphan","Description of a male story character, before learning his name"
"Crew_Astrid","Astrid","Name of a female story character."
"Crew_Astrid_Nameless","Orphan Girl","Description of a female story character, before learning her name,"
"Beggar_Brennan","Odd Beggar","Name of a male story character."
"Courier_Brennan","Disguised Brennan","Name of a male story character."
"Crew_Brennan","Brennan","Name of a male story character."
"Crew_Brennan_Nameless","Hooded Stranger","Description of a male story character, before learning his name"
"Silas","Silas","Name of a male story character."
"Silas_Nameless","Crow","Description of a male story character, before learning his name"
"Carpenter","Oskaer","Name of a male story character."
"Carpenter_Nameless","Carpenter","Description of a male story character, before learning his name"
"Ironmonger","Quell","Name of a female story character."
"Ironmonger_Nameless","Ironmonger","Description of a female story character, before learning her name,"
"Xaunesse","Xaunesse","Name of a female story character."
"Xaunesse_Nameless","Bookmaker","Description of a female story character, before learning her name,"
"Tuvain","Tuvain","Name of a male story character."
"Tuvain_Nameless","Elderly Scholar","Description of a male story character, before learning his name"
"Gelthus","Gelthus","Name of a male story character."
"Yvor","Yvor","Name of a male story character."
"Lucas_Boriona","Lucas","Name of a male story character."
"Marwins_Letter","Marwin’s Letter","Name of a letter."
"College_Letter","Letter","Name of a letter."
"Drunk_Ruffian","Drunk Ruffian","Name of a male story character."
"Supervisor","Supervisor","Name of a male story character."
"Scholar","Scholar","Name of a male story character."
"Mara","Mara","Name of a female story character."
"Kip","Kip","Name of a male story character."
"Tam","Tam","Name of a female story character."
"Elsa","Elsa","Name of a female story character."
"Harvo","Harvo Nimble-Grip","Name of a male story character."
"Square_Beggar","Beggar","Name of a male story character."
"Square_Guard","Guard","Name of a male story character."
"Scroll","Scroll","A scroll in a commission."
"SuspiciousGuard","Gate Guard","Name of a male story character."
"Veyera","Veyera","Name of a female story character."
"Charmer","Charmer","Name of a male story character."
"Marshal","Marshal","Name of a male story character."
"Artores","Artores","Name of a male story character (commission)."
"DrMarlowe","Dr. Marlowe","Name of a female story character (commission)."
"Dervan","Dervan","Name of a male story character (commission)."
"Hendy","Hendy","Name of a male story character (commission)."
"Risa","Risa","Name of a female story character (commission)."
"Willem","Willem","Name of a male story character (commission)."
"Cossetta_Faircliff","Cossetta Faircliff","Name of a female story character (commission)."
"Lord_Faircliff","Lord Faircliff","Name of a male story character (commission)."
"Finneke","Finneke","Name of a male story character (commission)."
"Thana","Thana","Name of a female story character (commission)."
"HoodedMan","Hooded Man","Name of a male story character (commission)."
"MaskedWoman","Masked Woman","Name of a female story character (commission)."
"Tobias","Tobias","Name of a male story character (commission)."
"Iago","Iago","Name of a male story character (commission)."
"Amerth","Amerth","Name of a female story character (commission)."
"Tallifer","Tallifer","Name of a female story character (commission)."
"Roland","Roland","Name of a male story character (commission)."
"Senna","Senna","Name of a female story character (commission)."
"Retheus","Retheus","Name of a male story character (commission)."
"Neal","Neal","Name of a male story character (commission)."
"Tessara","Tessara","Name of a female story character (commission)."
"Walther","Walther","Name of a male story character (commission)."
"Thaddeus","Thaddeus","Name of a male story character (commission)."
"Citadel_Knight","Citadel Knight","Description of a male story character"
"Merchant_Guard","Merchant Guard","Description of a male story character"
"OrdinaryGuard","Guard","Description of a male story character"
"Cheska","Cheska","Name of a female story character (commission)."
"Mysterious_Figure","Mysterious Figure","Name of a male story character."
"Pight","Pight","Name of a male story character."
"Applicant","Applicant","Name of a female story character."
"Chlodo","Chlodo","Name of the player's dog, male."
