"Key","SourceString","Comment"
"pigment_name_format","Pigment – {0}","Template for the item name of pigments. The pigment name is instered for {0}."
"pigment_description","A pigment to dye leather and fabric. Never runs out once obtained.",""
"book_name_format","Book – {0}","Template for the item name of sword part books. The pigment name is instered for {0}."
"book_volume_format","{0}, Vol. {1}","Template for books with multiple volumes, e.g. ""Scales of Steel and Terror, Vol. 2"""
"book_major_description_format","A major sword part book teaching the following sword part designs:
{0}

Customers may specifically ask for designs from this book.",""
"book_minor_description_format","A minor sword part book teaching the following sword part designs:
{0}

These parts are for creative decoration. Your customers are not going to ask for them.",""
"book_description_part","– {0}: {1}","Listing that there's more sword parts contained in a book. 0: Count"
"book_description_moreparts","– <i>and {0} more</>","Listing a sword part contained in a book. 0: Category, 1: Part Name"
"book_smithscompanion","Smith’s Companion",""
"book_defaultengravings","Default Engravings",""
"book_defaultgrips","Default Grips",""
"book_swordessentials","Sword Essentials",""
"book_modularthinking","Modular Thinking",""
"book_twistedsteel","Twisted Steel",""
"book_heavyhand","The Heavy Hand",""
"book_riseandshine","Rise and Shine",""
"book_crownsgrip","Crown’s Grip",""
"book_fullcircle","Full Circle",""
"book_hexagonalgrips","Hexagonal Grips",""
"book_platedgrips","Plated Grips",""
"book_twistedgrips","Twisted Grips",""
"book_elderfuthark","Elder Futhark",""
"book_rainguards","Rain Guards",""
"book_calculatedvelvet","Calculated Velvet",""
"book_subduingbeasts","On Subduing Beasts",""
"book_reasontheory","Axioms of Reason",""
"book_reasonpractice","Applications of Reason",""
"book_turningscent","The Turning Scent","This alludes both to symmetrical shapes created with turning (e.g. woodturning), and also to scent stopper pommels, i.e. pommels that look like perfume caps."
"book_squaringthecircle","Squaring the Circle",""
"book_planesofhorizon","Planes of Horizon",""
"book_ovalgrips","Oval Grips",""
"book_swordsoftheeast","Swords of the East",""
"book_cleanclosures","Clean Closures",""
"book_practicalsalvager","The Practical Salvager",""
"book_warsoftalindh","The Wars of Talindh","Talindh is a proper name, the kingdom in which Eren Keep is located."
"book_curiositiesofthewild","Curiosities of the Wild",""
"book_mountainstheta","Mountain’s Theta",""
"book_axiswithin","The Axis Within",""
"book_sevenswords","A History of the World in Seven Swords",""
"book_sihinora","Heads of Sihinora",""
"book_giftofchaoswastes","Gift of Chaos Wastes",""
"book_talok","Frill of Talok",""
"book_yinayo","Crest of Yinayo",""
"steel_name","Steel",""
"steel_description","An essential metal for swordmaking, necessary for forging the blade itself.",""
"wood_name","Wood",""
"wood_description","A common material for swordmaking, used in hilts. In shorter supply than it once was.",""
"leather_name","Leather",""
"leather_description","A useful material for swordmaking, wrapped around grips for comfort and control.",""
"gold_name","Gold",""
"gold_description","A precious metal for swordmaking, used for purely decorative purposes. Once associated with Ouzoma, the Voice of the Sun and Fate, who is said to have created it to entice mortals with dreams of a better future.",""
"silver_name","Silver",""
"silver_description","A precious metal for swordmaking, used for purely decorative purposes. Once associated with Myrmec, the Voice of the Moon and Wisdom, and said to ward against shape-changers.",""
"slaveshackles_name","Slave’s Shackles",""
"slaveshackles_description","A grim reminder of your past. Melt them down and start anew.",""
"oldtools_name","Old Tools",""
"oldtools_description","Rusty implements past their prime. Only good for salvage.",""
"brokencartwheel_name","Broken Cartwheel",""
"brokencartwheel_description","Shattered spokes, a cracked rim. Will never carry another cart, but perhaps you can turn it to some new purpose.",""
"leatherboot_name","Leather Boot",""
"leatherboot_description","A lonely goat-leather boot, missing its brother.",""
"shackles_name","Heavy Shackles",""
"shackles_description","Is that blood or rust speckling the edges of the cuffs?",""
"smalldrum_name","Small Drum",""
"smalldrum_description","The leather’s torn, the wood cracked. When it comes to drums, you can’t beat this one.",""
"goldpendant_name","Gold Pendant",""
"goldpendant_description","Better hide this well. The gleam of gold attracts jealousy like flies.",""
"pendant_name","Pendant",""
"pendant_description","A trinket of modest worth. Someone once treasured this bauble.",""
"familyheirloom_name","Family Heirloom",""
"familyheirloom_description","A sophisticated bronze brooch, passed down through your family line for untold generations. It’s the only thing you have from before the Sundering. You’ve never been able to translate the inscription around the edge.",""
"leatherbag_name","Leather Bag",""
"leatherbag_description","A bag of well-worn leather, clasped tight with drawstrings. Can be opened to retrieve whatever’s inside.",""
"ornatebox_name","Ornate Box",""
"ornatebox_description","A box engraved with beautifully intricate carvings. Can be opened to retrieve whatever’s inside.",""
"oldworldspirit_name","Old World Spirit",""
"oldworldspirit_description","Liquid amber bliss in a cloudy glass bottle. The last surviving example of this particular vintage. You’ve treasured it for so long, you’re not sure there’ll ever be an occasion special enough to drink it.",""
"woodenblacksmith_name","Wooden Figurine",""
"woodenblacksmith_description","A roughly-hewn statuette depicting a blacksmith at the forge. Aw, look at his widdle hammer.",""
"sleepingpotion_name","Sleeping Draught",""
"sleepingpotion_description","Sold as a cure for insomnia, this puts the imbiber into a long and dreamless sleep.",""
"blackstone_name","Black Stone",""
"blackstone_description","It drinks the light and eats the mind. When you look at it too closely, you find that an hour’s passed and you have a headache.",""
"orelindaggerscorched_name","Scorched Dagger",""
"orelindaggerscorched_description","A dagger salvaged from the smouldering ruins of a paper mill. Though scorched black, it’s the only clue as to the identity of the arsonist.",""
"orelindaggercleaned_name","Cleaned Dagger",""
"orelindaggercleaned_description","Now it’s clean, it’s evident that this dagger is of fine craftsmanship.",""
"horseshoe_name","Horseshoe",""
"horseshoe_description","The common blacksmith’s bread and butter, horseshoes were once a symbol of Skell and were alleged to bring good luck.",""
"tankard_name","Empty Tankard",""
"tankard_description","A drinking vessel and, if you’re drunk enough, percussive instrument.",""
"brokenhelmet_name","Ruined Helmet",""
"brokenhelmet_description","This implies that somewhere there’s a ruined head.",""
"scoutscollar_name","Scout’s Collar",""
"scoutscollar_description","An unassuming leather collar with a simple brass ring. Light enough that it won’t slow a good dog down.",""
"warhoundscollar_name","War Hound’s Collar",""
"warhoundscollar_description","Thick padded leather, built to protect the throat from blade and claw.",""
