"Key","SourceString","Comment"
"game_newgame","Нова гра","Button to start a new game."
"game_savegame","Зберегти гру","Button to save the current game."
"game_loadgame","Завантажити гру","Button to load a game that was previously saved."
"game_loadgame_confirmation","Незбережений прогрес буде втрачено.","A warning displayed to the player that they will lose unsaved progress on loading."
"game_lastsaved","Останнє збереження: {0}","A hint displayed to the player, stating the time of their last savegame."
"game_newsave","Нове збереження","Button to create a new save game."
"game_deletesave","Видалити збереження","Button to delete a saved game."
"game_quicksave","Швидке збереження","Button to quickly save the game."
"game_quickload","Швидке завантаження","Button to quickly load the game."
"saveslot_quicksave","Швидке збереження","Title of the 'quicksave' savegame, saved by the player with e.g. a hotkey."
"saveslot_autosave","Автозбереження","Title of the 'autosave' savegame, saved automatically by the game."
"game_continue","Продовжити","Button to continue the current game."
"game_storymode","Режим історії","Button to start the game's story mode."
"game_creativemode","Режим креативу","Button to start the game's creative mode."
"game_credits","Титри","Button to show the game's credits."
"game_quit","Вийти","Button to quit the entire game."
"game_level","Рівень","Generic term for the player's level, as typically seen in role-playing games."
"game_level_format","Рівень {0}","Generic display of the player's level, as typically seen in role-playing games. The current level (1, 2, 3 .. 39, 40) is inserted for {0}."
"game_rank_format","Ранг {0}","Generic display of the player's rank within a given faction, as typically seen in role-playing games. The current rank (0, 1, 2 .. 9) is inserted for {0}."
"game_day_format","День {0}","Generic display of the in-game day. The current day (1, 2, 3 .. 500, 501 ...) is inserted for {0}."
"game_days_remaining_format","Залишилось {0} {0}|plural(one=день, two=дні, other=днів)","Generic display of a number of remaining days before an effect or an ongoing event runs out."
"game_days_duration_format","{0} {0}|plural(one=день, two=дні, other=днів)","Generic display of a number of days, e.g. to display a duration for an effect."
"game_playtime","Час у грі","Generic display of the total real-world time the player has played on a given savegame."
"game_experiencepoints","Досвід","Generic term (short!) for the player's experience points, as typically seen in role-playing games."
"game_wealth","Статки","Generic term for the players wealth, i.e. how much money is available."
"game_reputation","Репутація","Generic term for the player's reputation with a faction."
"game_reputation_format","{0} Репутація","Reputation displayed with a number."
"game_reputation_threshold_format","{0}/{1} Репутація","Reputation displayed with a current number {0} and a threshold/goal to reach {1}."
"game_actionpoints","Очки дії","General term for Action Points the player can spend on doing certain actions."
"game_currency","Гроші","General term for the owned money."
"game_thalers","Талери","In-game term for the currency."
"game_dailyupkeep","Щоденний збір","General term for the amount of currency the player has to pay per day."
"game_valuedisplay","{0}: {1}","General display of values, e.g. ""XP: 400"" or ""Finesse: 3"""
"game_contextdisplay","{0} – {1}","General display of two things in context, e.g. ""Day 5 – Morning"" or ""Some Faction – Rank 2"""
"pausemenu_continue","Продовжити","Button in pause menu to continue playing the game."
"pausemenu_tutorial","Показати туторіал","Button in pause menu to show the tutorial."
"pausemenu_options","Налаштування","Button in pause menu to show the options."
"pausemenu_exit","Головне меню","Button in pause menu to exit to main menu."
"pausemenu_quit","Вийти з гри","Button in pause menu to quit the game."
"credits_thankyou","Дякуємо, що ви є частиною спільноти Bladesong.","Thank the player for supporting the game at the end of the credits."
"generic_okay","Окей","Generic button caption to confirm"
"generic_yes","Так","Generic button caption to confirm"
"generic_no","Ні","Generic button caption to decline"
"generic_back","Назад","Generic button caption to go back"
"generic_goback","Повернутися","Generic button caption to go back"
"generic_cancel","Скасувати","Generic button caption to cancel/decline an action"
"generic_later","Пізніше","Generic button caption to defer a decision"
"generic_thankyou","Дякую!","Generic thanks, e.g. when the player has filled out feedback forms, subscribed to the newsletter etc."
"compatibility_skilltreechanged","Дерево навичок змінилося з часу вашої останньої гри. Вам було повернено ваші очки навичок.","Displayed to the player when loading an older savegame."
"feedbacksurvey_title","Ми будемо раді дізнатися вашу думку!","Text for inviting players to give us feedback on the game."
"feedbacksurvey_button","Відкрити опитування для зворотного зв'язку","Button to open the external feedback form."
"creativemode_button_forgeblade","+ Кувати Клинок","Button to start forging a new blade in Creative Mode."
"creativemode_timedbutton_delete","Утримуйте для видалення","Button to delete a sword in Creative Mode. The players needs to hold this button for some time before the sword is deleted."
"creativemode_magicwords_paste","Paste Magic Words","Note to player to paste a share code (called magic words in the game) in Creative Mode."
"creativemode_magicwords_description","Sharing a sword from within the game yields <asc>Magic Words</>.
Paste them here to conjure an identical copy of the sword!","A hint displayed to the player explaining how sharing works. Please keep the <asc></> formatting tag intact."
"creativemode_button_conjure","Conjure","Button to open the sword in Creative Mode based on the pasted magic words."
"campaignmode_welcome_title","Вітаємо у
BLADESONG","Welcome message when starting management mode."
"campaignmode_welcome_button_start","Розпочати гру","Button in the Story Mode's welcome message to start playing now."
"campaignmode_text_newday","Настав 
новий день","Information that a new day in Story Mode is beginning."
"campaignmode_title_commissions","Замовлення","Title of the commission section in Story Mode, where players see the current customer orders."
"campaignmode_title_events","Події","Title of the section in Story Mode where notable current events are listed, e.g. an orphan begging in front of the shop."
"campaignmode_title_workshop","Майстерня","Title of the workshop section in Story Mode, where players find their in-progress blades."
"campaignmode_title_factions","Фракції","Title of a window in Story Mode displaying encountered factions, i.e. in-universe groups the player can gather reputation with."
"campaignmode_title_journal","Журнал","Title of the player's journal, tracking quest progress."
"campaignmode_title_quests","Завдання","Title of a list of the player's quests/activities."
"campaignmode_title_quests_active","Чинне",""
"campaignmode_title_quests_onhold","Призупинено",""
"campaignmode_title_quests_finished","Завершено",""
"campaignmode_title_finishedpieces","Готові вироби","Title of the piece inventory in Story Mode, showing the finished pieces (i.e. swords) the player has made."
"campaignmode_title_hired","Наймані персонажі","Title of the hired characters section in Story Mode, where players see the characters they have already hired to work in the forge."
"campaignmode_title_vendors","Постачальники","Title of the vendors section in Story Mode, where swordpart vendors are available."
"campaignmode_title_swordparts","Деталі меча","Title of the sword parts/inventory section in Story Mode, where owned sword parts are shown in the player inventory."
"campaignmode_button_learn","Вивчити нові Деталі меча","Button inside swordpart/inventory window in Story Mode, to learn new swordpart ""blueprints."""
"campaignmode_title_learnandimprove","Вивчати та вдосконалюватися","Title of the skill tree window in campaign mode, where access to skill tree and earned skill points are shown."
"campaignmode_vendor_visit","Відвідати","Text on button to visit the vendor and trade."
"campaignmode_openskilltree","Відкрити Дерево навичок","Text on button to open the skill tree."
"campaignmode_display_day","День","Title of the display that shows the current day in Story Mode."
"campaignmode_display_actionpointshint","Очків дії залишилось:","Value to show the player's remaining action points."
"campaignmode_endtheday","Завершити день","Text of button where player choose to end the current day / close the shop for the day."
"campaignmode_timedevent_lastday","Останній день","Display the number of days left on a timed event (e.g. a commission). This string is only used in case this is the last day before the event runs out."
"campaignmode_wealth_tooltip","Щоденний збір:","Value to show the amount the player has to pay each day for their forge."
"campaignmode_pieceinventory_button_sale","На продажі","Hint text denoting that a sword is currently up for sale."
"campaignmode_pieceinventory_button_disassemble","Розібрати","Caption of the disassemble button, to break a blade down into its components and discard it."
"gameplayrating_currentvalue","Поточний: {0}","The current numeric value of a sword rating (inserted for {0}), displayed next to potential requirements."
"gameplayrating_requiredrange","Потрібний: між {0} та {1}","The numerical requirements for a sword rating, between two values inserted for {0} and {1} respectively."
"gameplayrating_requiredmin","Потрібний: хоча б {0}","The numerical requirement floor for a sword rating, inserted for {0}, in cases where there is no maximum bound."
"gameplayrating_requiredmax","Потрібний: менш ніж {0}","The numerical requirement ceiling for a sword rating, inserted for {0}, in cases where there is no minimum requirement."
"gameplayrating_required","Потрібний","Displayed in a stat's tooltip to denote that the customer requires this."
"gameplayrating_norequirement","Без вимог","Displayed in a stat's tooltip to denote that the customer does not requires this."
"stylerating_required","{0} потрібний","The numerical requirements for a particular sword style, inserted for {0}."
"stylerating_swordpartbook","Використовуйте деталі з цієї книги, допоки вимога не буде виконана. Потрібні деталі позначені символом <ReqPart/>.","Description of a style requirement, asking the player to use sword parts from a specific book. An image is unserted for <ReqPart/>."
"stylerating_material","Використовуйте цей матеріал, допоки вимога не буде виконана. Потрібний матеріал позначено символом <ReqMaterial/>.","Description of a style requirement, asking the player to use a specific material. An image is inserted for <ReqMaterial/>."
"stylerating_pigment","Використовуйте матеріали пофарбовані цим барвником, допоки вимога не буде виконана. Потрібні матеріали позначено символом <ReqPigment/>.","Description of a style requirement, asking the player to use a specific pigment. An image is inserted for <ReqPigment/>."
"gameplayrating_bladelength_title","Довжина клинка","Title of the gameplay-rating."
"gameplayrating_bladelength_range","Від короткого до довгого","Description of the blade length bar's meaning"
"gameplayrating_bladelength_description","Загальна довжина клинка, виміряна від основи до вістря.","Text inside tooltip, explaining the physical value of the blade length."
"gameplayrating_weight_title","Вага","Title of the gameplay-rating."
"gameplayrating_weight_range","Від легкого до важкого","Description of the weight bar's meaning"
"gameplayrating_weight_description","Загальна вага меча. Легкий меч дозволяє рухатися швидше і менше втомлює, але більш важкий меч завдає сильнішого удару.","Text inside tooltip, explaining the physical value of the weight."
"gameplayrating_balance_title","Баланс","Title of the gameplay-rating."
"gameplayrating_balance_range","Від нахилу в сторону руків'я до вістря відповідно","Description of the balance bar's meaning"
"gameplayrating_balance_description","Центр ваги — важлива властивість. Регулюйте його, змінюючи розподіл ваги між держаком і лезом.","Text inside tooltip, explaining the physical value of the balance."
"gameplayrating_blademass_title","Маса клинка","Title of the gameplay-rating."
"gameplayrating_blademass_description","Яка сила припадає на удар. Це можна регулювати, зміщуючи центр ваги або змінюючи розподіл маси. Маса, розташована поблизу центру ваги, поводитиметься інакше, ніж маса, направлена на вістря чи на голівку руків'я.","Text inside tooltip, explaining the physical value of the blade mass and mass distribution."
"gameplayrating_cutthrough_title","Розрізання","Title of the gameplay-rating."
"gameplayrating_cutthrough_description","Плоске і широке лезо з гострим краєм ідеально підійде для різаного удару. Використовуйте кольори на екрані поперечного зрізу собі на користь.","Text inside tooltip, explaining the physical value of slashing and how to sharpen the edge."
"gameplayrating_piercing_title","Проколювання","Title of the gameplay-rating."
"gameplayrating_piercing_description","Гостре вістря на вузькому або звуженому лезі зробить ваш меч ідеальним для колючих атак.","Text inside tooltip, explaining the physical value of piercing and how to apply abilities that are ideal for thrusting."
"skills_tier1","I","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands I"". Feel free to change if roman numerals don't work with the target language."
"skills_tier2","II","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands II"". Feel free to change if roman numerals don't work with the target language."
"skills_tier3","III","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands III"". Feel free to change if roman numerals don't work with the target language."
"skills_tier4","IV","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands IV"". Feel free to change if roman numerals don't work with the target language."
"skills_tier5","V","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands V"". Feel free to change if roman numerals don't work with the target language."
"skills_tier6","VI","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands VI"". Feel free to change if roman numerals don't work with the target language."
"skills_tier7","VII","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands VII"". Feel free to change if roman numerals don't work with the target language."
"skills_tier8","VIII","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands VIII"". Feel free to change if roman numerals don't work with the target language."
"skills_tier9","IX","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands IX"". Feel free to change if roman numerals don't work with the target language."
"skills_tier10","X","If skills have multiple tiers, we denote them with roman numerals in English for a bit of extra flavour, e.g. ""Strong Hands X"". Feel free to change if roman numerals don't work with the target language."
"skills_taper_title","The Blade","Title of the tapering skill window in management mode skill tree, referring the blade of the sword."
"skills_taper_text","The balance of the blade comes alive through its taper. Tapering is used to shape the handling characteristics of the blade and to optimise the weight distribution.","Text inside the tapering skill window in management mode skill tree, describing what the skill is about."
"skills_taper_profile","Unlocks <ability>Profile Taper</> to make blades taper in width.","Text inside the tapering skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_taper_distal","Unlocks <ability>Distal Taper</> to make blades taper in thickness.","Text inside the tapering skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_crosssection_title","The Edge","Title of the tapering skill window in management mode skill tree, referring the edge of a blade."
"skills_crosssection_text","The cross-section is a crucial piece of the puzzle in the making of blades. It greatly influences the intended use of the blade and its ability to cut and pierce.","Text inside the cross-section skill window in management mode skill tree, describing what the skill is about."
"skills_crosssection_advanced","Unlocks advanced cross-section controls.","Text inside the cross-section skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_crafting_title","Crafting","Title of the crafting skill window in management mode skill tree, referring the hilt section of a sword."
"skills_crafting_text","In the days of the old, specialised craftsmen created the stages of a blade – a luxury you don’t have in Eren Keep. You are making your own hilt parts, which is just as important as shaping the blade itself.","Text inside the crafting skill window in management mode skill tree, describing what the skill is about."
"skills_crafting_unlock","Unlocks the ability: Crafting","Text inside the crafting skill window in management mode skill tree, showing the player the exact ability that will be unlocked by learning this skill."
"skills_preroot_title","The Becoming","Title of a UI element on the way to the next skill point, referring to the players journey to become a better swordsmith."
"skills_treeroot_title","The Sword","Title of the main branching skill window in management mode skill tree."
"skills_treeroot_text","You are now worthy of calling yourself a swordsmith. Increase your skills to produce even more complex blades and make your forge flourish.","Text inside the main branching skill window in management mode skill tree, complimenting the player for come this far and going further to become an even better swordsmith. "
"skills_bettersalvaging","Salvaging Mastery","Title of a skill that improves the ability to salvage resources from miscellaneous/scrap items."
"skills_bettersalvaging_unlock","Salvaging yield is increased by {Mul}%.","Description of a skill that improves the ability to salvage resources from miscellaneous/scrap items."
"skills_treeroot_unlock_leather","Unlocks various kinds of leather for crafting.","Description of unlocks the player gains by learning the main branching skill."
"skills_unlock_increase_upkeep","Increases your daily upkeep by {Add}.","Description of fixed malus the player receives by learning the main branching skill. Daily upkeep is the cost the player has to pay each day for maintaining the forge."
"skills_unlock_decrease_upkeep","Reduces your daily upkeep by {Add}.","Skill effect: the amount to be paid per day for the forge's upkeep is reduced by fixed value X."
"skills_unlock_decreaserel_upkeep","Reduces your daily upkeep by {Mul}%.","Skill effect: the amount to be paid per day for the forge's upkeep is reduced by X percent."
"skills_unlock_increase_ap","Increases your <AP/> by {Add}.","Skill effect: the player gets X (fixed number) more action points per in-game day."
"skills_unlock_increase_ap_repeat","Increases your <AP/> by another {Add}.","Skill effect: the player gets X (fixed number) more action points per in-game day, from a skill behind the first."
"skills_swordmaking_title","Swordmaking","Title of the node in the skill tree which groups all swordmaking skills."
"skills_swordmaking_text","Learn how to use more abilities and make your forging skills more efficient.","Description of the node in the skill tree which groups all swordmaking skills."
"skills_shopkeeping_title","Shopkeeping","Title of the node in the skill tree which groups all shopkeeping skills."
"skills_shopkeeping_text","Learn useful skills that will help you manage your shop and gain advantages.","Description of the node in the skill tree which groups all shopkeeping skills."
"skills_strength_title","Strong Hands","Title of the strong hands skill window in management mode skill tree, referring to the players hands as a swordsmith getting stronger over time from working in the forge."
