"Key","SourceString","Comment"
"SteelDefault","Steel","Bladematerial"
"SteelBrushed","Brushed Steel","Swordpart material"
"SteelBlued","Blued Steel","Bladematerial"
"SteelBluedBrushed","Brushed Blued Steel","Bladematerial"
"SteelPatternWeld","Pattern-Welded Steel 1","Bladematerial"
"SteelPatternWeldCoffeeEtched","Pattern-Welded Steel 2","Bladematerial"
"Brass","Brass","Bladematerial"
"Gold","Gold","Bladematerial"
"Silver","Silver","Bladematerial"
"Bronze","Bronze","Bladematerial"
"Copper","Copper","Bladematerial"
"Chromium","Chromium","Swordpart material"
"Rust","Rust","Bladematerial"
"RustDark","Dark Rust","Bladematerial"
"RustGreen","Green Rust","Bladematerial"
"SteelRed","Dragonblood Steel","Bladematerial"
"SteelBlack","Burnished Steel","Bladematerial"
"LeatherCowRough","Rough Cow Leather on Wood","Swordpart material"
"LeatherPebbled","Pebbled Leather on Wood","Swordpart material"
"LeatherCow","Cow Leather on Wood","Swordpart material"
"LeatherWrinkled","Wrinkled Cow Leather on Wood","Swordpart material"
"LeatherLamb","Lamb Leather on Wood","Swordpart material"
"LeatherLambRibbed","Ribbed Lamb Leather on Wood","Swordpart material"
"LeatherSnakeScaleForest","Snake Scales","Swordpart material"
"WoodBasic","Plain Poplar Wood","Swordpart material"
"WoodAsh","Ash Wood","Swordpart material"
"WoodFine","Fine Wood","Swordpart material"
"WoodLight","Light Wood","Swordpart material"
"WoodDark","Dark Wood","Swordpart material"
"WireWrap","Wire Wrap","Swordpart material"
"WireWrapGold","Wire Wrap (Gold)","Swordpart material"
"RopeWrapHemp","Rope Wrap (Hemp)","Swordpart material"
"RopeWrap","Rope Wrap","Swordpart material"
"Clay","Clay","Swordpart material"
"Obsidian","Obsidian","Swordpart material"
"Ivory","Ivory","Swordpart material"
"Ice","Ice","Swordpart material"
"Glowing","Enchanted","Swordpart material"
"Rock","Rock","Swordpart material"
