"Key","SourceString","Comment"
"Black","Black","Material Pigment"
"Brown","Walnut Brown","Material Pigment"
"Red","Crimson","Material Pigment"
"Oxblood","Oxblood","Material Pigment"
"Blue","Indigo","Material Pigment"
"Green","Moss Green","Material Pigment"
"Yellow","Saffron","Material Pigment"
"Purple","Deep Purple","Material Pigment"
"White","Alabaster","Material Pigment"
"Sienna","Saddle Brown","Material Pigment"
"Orange","Orange","Material Pigment"
"HotSteel","Hot Steel","Material Pigment"
"RedGlow","Red","Material Pigment"
"BlueGlow","Blue","Material Pigment"
"GreenGlow","Green","Material Pigment"
"YellowGlow","Yellow","Material Pigment"
"PurpleGlow","Purple","Material Pigment"
"WhiteGlow","White","Material Pigment"
