"Key","SourceString","Comment"
"tutorial_thankyouforsignup","Thank you for playing the Bladesong Demo!",""
"tutorial_lotshaschanged","This short tutorial will teach you all you need to know. Please follow it closely.",""
"tutorial_welcometocamp","Welcome to the camp, swordsmith!",""
"tutorial_commission_source","People will come to you with <emph>commissions</>.",""
"tutorial_commission_choose","You choose which commissions to take on.",""
"tutorial_commission_refresh","Commissions refresh daily.",""
"tutorial_commission_button","Select the highlighted button to choose your first commission.",""
"tutorial_billet_prepare","When you accept a commission, you prepare a billet for your sword.",""
"tutorial_billet_costsactionpoints","Preparing this billet costs <emph>Action Points</> <AP/>.",""
"tutorial_actionpoints_replenish","Action Points <AP/> replenish daily.",""
"tutorial_billet_costssteel","Preparing this billet also costs <emph>steel</> <Steel/>.",""
"tutorial_camera_move","To rotate the camera, hold the <emph>right mouse button</> and move the mouse.",""
"tutorial_camera_rotate","To move the camera along the blade, hold the <emph>middle mouse button</> or <emph>Alt + right mouse button</> and move the mouse.",""
"tutorial_camera_zoom","To zoom in or out, use the <emph>mouse wheel</> or hold <emph>Ctrl + right mouse button</> and move the mouse.",""
"tutorial_usetutorialflag","Use the tutorial flag in the top bar to revisit any information you’ve already seen.",""
"tutorial_commission_requirements","Customers have different <emph>requirements</> which your sword must fulfil.",""
"tutorial_commission_requirementspanel","The top left panel shows your progress towards commission requirements.",""
"tutorial_hoverbladelength","Hover the cursor over the Blade Length requirement to see helpful details.",""
"tutorial_letsstartshaping","Let’s start shaping your blade.",""
"tutorial_addability_changelength","Click the <AddAbility/> button to add a <ability>Change Length</> ability.",""
"tutorial_hammer_types","You can apply light or heavy hammer hits to alter your blade.",""
"tutorial_hammer_click","Let’s start with light hits. Click on the steel billet to hammer and lengthen it.",""
"tutorial_hammer_heavyhits","In order to make larger changes on your blade, you can build up strength with heavy hits.",""
"tutorial_hammer_heavyhittiming","Click when the hammer is at its highest position for a heavy hit.",""
"tutorial_hammer_rhythm","Hammer in time with the rhythm for stronger hits.",""
"tutorial_hammer_heavyhitchain","The longer your chain of heavy hits, the more your blade changes with each hit.",""
"tutorial_letsflatten","Now that the Blade Length requirement is met, let’s flatten the blade.",""
"tutorial_addability_changethickness","Click the <AddAbility/> button to add a <ability>Change Thickness</> ability.",""
"tutorial_hammer_allhitsarebeautiful","Feel free to use light or heavy hits as you please.",""
"tutorial_shiftforfinecontrol","Hold shift for even lighter hammer hits.",""
"tutorial_fliphammeringdirection","Use <key>X</> to flip the hammering direction.",""
"tutorial_addability_changewidth","Let’s make the blade wider using the <ability>Change Width</> ability.",""
"tutorial_addability_point","Hammer a point on the sword.",""
"tutorial_pointisrequired","Usually, customers won’t accept a sword without a point.",""
"tutorial_addability_crosssection","The <ability>Cross-Section</> ability makes your blade sharp. Let’s add it.",""
"tutorial_crosssection_twosteps","This ability has two steps. First, you need to give the blade a sharp edge.",""
"tutorial_crosssectiondisplay_watch","Watch the cross-section display in the top right to get a better understanding of what’s changing.",""
"tutorial_hammeruntildone","Hammer until the blue line on the blade turns orange.",""
"tutorial_crosssection_established","The edge is now sharp and you can further adjust the shape of the cross-section.",""
"tutorial_crosssection_hammerhextodiamond","Keep hammering until the hexagon shape <Hexagon/> becomes a diamond shape <Diamond/>.",""
"tutorial_bladeiscomplete","Great, your blade is complete!",""
"tutorial_hiltmode_button","Click the <emph>hilt mode</> button to start working on the hilt.",""
"tutorial_swordpartlibrary","In hilt mode, you have access to a library of sword parts to complete your sword.",""
"tutorial_swordpart_guard","Select a guard from the library, then attach it to a slot on your sword.",""
"tutorial_swordpart_costresources","In hilt mode, attaching parts costs <emph>resources</>.",""
"tutorial_resources_panel","Keep an eye on the resource panel to see how much you’re spending.",""
"tutorial_swordpart_grip","Add a grip part next.",""
"tutorial_swordpart_requirestwohanded","Your customer requires a two-handed sword, so your grip section needs to be long enough.",""
